Cell Type	Z-score	Cluster
Homeostatic chondrocyte	-0.27866043477769387	0
Naive CD4+ T cell	-0.2789710859446649	0
Germinal center B cell	-0.2808343710759469	0
Immune cell	-0.2810226767028524	0
Müller glial cell	-0.282184784195767	0
Lymphatic endothelial cell	-0.28245279459827755	0
Regulatory T(Treg) cell	-0.28464675157261615	0
Effector CD8 T cell	-0.28553036443262797	0
Secretory cell	-0.287857090274274	0
Lake et al.Science.Ex6	-0.28949311908667624	0
Panvascular cell	-0.28995792303998474	0
Basal epithelial cell	-0.29037119436891223	0
Conventional dendritic cell 1(cDC1)	-0.2921003872238946	0
Zona glomerulosa cell	-0.2924763933966788	0
CD4+ cytotoxic T2 cell	-0.2928783212669879	0
Cytotoxic CD8 T cell	-0.2928783212669879	0
Effector memory CD8+ T cell	-0.2928783212669879	0
NK and T cell	-0.2928783212669879	0
Gamma delta(γδ) T cell	-0.2928783212669879	0
Activated effector cell	-0.2928783212669879	0
Finally highly effector (TEMRA) memory T cell	-0.2928783212669879	0
Sinusoidal endothelial cell	-0.2930781560248182	0
Lipid-associated macrophage(LAM)	-0.2934172713489278	0
Spermatogenic cell	-0.2934172713489278	0
Disease-associated microglial cell	-0.2934172713489278	0
Beta-like cell	-0.2934172713489278	0
Extravillous trophoblast	-0.2934172713489278	0
Dental pulp stem cell	-0.2934172713489278	0
Mesenchymal progenitor cell	-0.2934172713489278	0
Periosteum-derived progenitor cell	-0.2934172713489278	0
Pluripotent stem cell	-0.2934172713489278	0
Delta cell	-0.2934172713489278	0
Schwann cell	-0.2934172713489278	0
Haematopoietic cell	-0.2934172713489278	0
Vein cell	-0.2937247400793993	0
Neutrophil progenitor cell	-0.29474332715916607	0
Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell	-0.29474332715916607	0
Cholangiocyte	-0.29474332715916607	0
Pelvic epithelial cell	-0.29474332715916607	0
Ductal cell	-0.29474332715916607	0
Muscle cell	-0.2947644852427313	0
DCLK1+ progenitor cell	-0.29490601593350363	0
Osteocyte	-0.29490601593350363	0
Capillary cell	-0.29490601593350363	0
Mature osteoblast	-0.29490601593350363	0
Cardiovascular progenitor cell	-0.2950036058244647	0
Lake et al.Science.In4	-0.2950036058244647	0
Hepatic stellate cell	-0.2950036058244647	0
Septum transversum mesenchyme cell	-0.2950036058244647	0
Septum transversumal cell(STC)	-0.2950036058244647	0
Fibro-adipogenic progenitor cell	-0.2950036058244647	0
Myogenic progenitor cell	-0.2950036058244647	0
Mesodermal cell	-0.2950036058244647	0
Nucleus pulposus progenitor cell	-0.2950036058244647	0
Lipofibroblast	-0.2950036058244647	0
Fibrochondrocyte progenitor cell	-0.2956562927038961	0
Myoepithelial cell	-0.2956562927038961	0
