Cell Type	Z-score	Cluster
Meiotic prophase fetal germ cell	2.6027522506011285	0
Sustentacular cell	0.032683894092770505	0
Oligodendrocyte	0.032683894092770505	0
Lake et al.Science.In2	-0.39201057545288126	0
Natural killer T (NKT) cell	-0.39201057545288126	0
Regulatory T (Treg) cell	-0.39201057545288126	0
Plasmacytoid dendritic cell	-0.4390272513800811	0
Oligodendrocyte progenitor cell	-0.4390272513800811	0
Mitotic arrest phase fetal germ cell	-0.6140338096678655	0
Astrocyte	0.8786098169079002	1
FGFR1HighNME5- epithelial cell	0.8786098169079002	1
Beta cell(β cell)	0.3798614923614098	1
Leydig cell	0.3798614923614098	1
Gonadal mitotic phase fetal germ cell	-1.258471309269317	1
Mitotic fetal germ cell	-1.258471309269317	1
Mitotic fetal germ cell	0.6540617362832188	10
Multilymphoid progenitor cell	0.6540617362832188	10
Oligodendrocyte progenitor cell	0.6540617362832188	10
Sertoli cell	0.6540617362832188	10
Oocyte	0.2847035446784348	10
Ciliated epithelial cell	-1.4504752449056584	10
SLC16A7+ cell	-1.4504752449056584	10
Regulatory T(Treg) cell	3.895246127186163	11
Effector memory T cell	2.020285665715943	11
Retinal ganglion cell	1.7143814546495413	11
Natural killer cell	1.2308657429754422	11
Neuron	0.9004332219870611	11
Astrocyte	0.5785812185412144	11
Mast cell	0.396304763466101	11
Natural killer T (NKT) cell	-0.10364891848172365	11
T helper 2(Th2) cell	-0.302261945657287	11
T cell	-0.3344432553425228	11
Basophil	-0.4156019239770798	11
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.4156019239770798	11
Exhausted CD4+ T cell	-0.44778323366231554	11
Activated effector cell	-0.4568580293821707	11
CD4+ T cell	-0.4568580293821707	11
Activated T cell	-0.4568580293821707	11
Regulatory CD4+ T cell	-0.4568580293821707	11
T follicular helper(Tfh) cell	-0.4568580293821707	11
Leydig precursor cell	-0.470242084647979	11
Panneuron	-0.470242084647979	11
Caudal cortex cell	-0.470242084647979	11
Leydig cell	-0.49763191839844817	11
CD8+ T cell	-0.49763191839844817	11
