Cell Type	Z-score	Cluster
Natural killer T (NKT) cell	3.6744654142036315	0
T follicular helper(Tfh) cell	3.2369632877696795	0
SLC16A7+ cell	1.1453680565890065	0
Mitotic arrest phase fetal germ cell	0.6325090573702344	0
Meiotic prophase fetal germ cell	0.6003933624047808	0
Leydig cell	0.02855762688798716	0
Plasmacytoid dendritic cell	-0.09394184677506366	0
Monocyte	-0.18154108575847355	0
Microglial cell	-0.18207991654075992	0
Paneth cell	-0.1954299726065731	0
FGFR1HighNME5- epithelial cell	-0.20882250070892344	0
Multilymphoid progenitor cell	-0.21493945281798785	0
Neuroendocrine cell	-0.22222516569186918	0
Brush cell (Tuft cell)	-0.22222516569186918	0
Naive CD8+ T cell	-0.22541820012621944	0
Morula cell (Blastomere)	-0.41029630407944134	0
CD4+ T cell	-0.41133874371683893	0
Oocyte	-0.4478577934328368	0
Effector CD8+ memory T (Tem) cell	-0.45295538348373143	0
OxPhos monocyte	-0.47749707003666864	0
CD1C-CD141- dendritic cell	-0.48015127368873256	0
Retinoid acid signaling-responsive fetal germ cell	-0.4850632808487271	0
Lake et al.Science.Ex8	-0.48584045275479953	0
T cell	-0.48584045275479953	0
8-cell stage cell (Blastomere)	-0.48628740457679576	0
Gonadal endothelial cell	-0.4908471261024818	0
Macrophage	-0.4908471261024818	0
Oligodendrocyte progenitor cell	-0.4908471261024818	0
Myeloid cell	-0.4908471261024818	0
Ionocyte cell	-0.4914773713071587	0
Naive CD4+ T cell	-0.49363946341712706	0
Megakaryocyte	11.131477078071182	10
Endothelial cell	5.5419338332547206	10
Platelet	3.505335981993105	10
Mast cell	1.6960867215330666	10
Megakaryocyte progenitor cell	1.610353855197702	10
Trophectoderm cell	1.532254264019502	10
Natural killer T (NKT) cell	1.4604038005030624	10
Microglial cell	1.349186075477266	10
Macrophage	1.1494433874296495	10
Astrocyte	1.029843067378538	10
Monocyte	0.941332315464032	10
Excitatory neuron	0.8025312866059501	10
Natural killer cell	0.7241816851989441	10
Activated CD8+ T cell	0.7241816851989441	10
Smooth muscle cell	0.5834952626102825	10
Stem cell	0.4350756171745368	10
T cell	0.36281849504201397	10
Mitotic fetal germ cell	0.2912701113265995	10
Myeloid cell	0.20400950017698186	10
Eosinophil	0.20210240487943615	10
Vascular endothelial cell	0.201681831477008	10
Oligodendrocyte	0.1981425990671528	10
Hematopoietic stem cell	0.18644636453494923	10
Fibrocartilage chondrocyte	0.17229155684742956	10
Mesenchymal stromal cell	0.1688035125900532	10
Mitotic arrest phase fetal germ cell	0.1594705181043696	10
Adipose-derived stem cell	0.15772563768416098	10
Gonadal endothelial cell	0.15433317586191947	10
Plasmacytoid dendritic cell(pDC)	0.14392859261222057	10
Oogenesis phase fetal germ cell	0.1161973128114073	10
Red blood cell (erythrocyte)	0.116060527752558	10
Myofibroblast	0.06733425835862751	10
Pericyte	0.06583134817798206	10
Sertoli cell	0.05028762558121072	10
Activated endothelial cell	0.026474491668845215	10
Vasculature cell	0.026474491668845215	10
Multilymphoid progenitor cell	0.025737552032656007	10
CD1C-CD141- dendritic cell	0.02543227474886615	10
B cell	0.001566043117812037	10
Progenitor cell	-0.05087620898377236	10
Gonadal mitotic phase fetal germ cell	-0.06952768213993607	10
Paneth cell	-0.0718707719724835	10
Leydig cell	-0.08151041757868882	10
MKI67+ progenitor cell	-0.11840037049675554	10
Liver bud hepatic cell	-0.1304486398258034	10
Patelet	-0.14226955429769889	10
Effector CD8+ memory T (Tem) cell	-0.1434866774683523	10
Plasmacytoid dendritic cell	-0.15108346369410222	10
AXL+SIGLEC6+ dendritic cell	-0.15158275627345114	10
Epithelial cell	-0.15366646439235387	10
Cytotoxic CD4+ T cell	-0.16402923737068645	10
Granulosa cell	-0.17069363969849263	10
Neuron	-0.17523044611498106	10
Migration phase fetal germ cell	-0.17818774216478978	10
Retinoid acid signaling-responsive fetal germ cell	-0.18140360523260726	10
Proliferative chondrocyte	-0.18152241417337833	10
CD141+CLEC9A+ dendritic cell	-0.18223266885078296	10
Ciliated cell	-0.18239915889247457	10
Ionocyte cell	-0.2028989346820302	10
CD1C+_B dendritic cell	-0.20475063083124684	10
Circulating fetal cell	-0.20835017776787185	10
Fibroblast	-0.20851436412229019	10
Oligodendrocyte progenitor cell	-0.21151683170825544	10
Meiotic prophase fetal germ cell	-0.2129676503850171	10
SLC16A7+ cell	-0.21302694813908868	10
Hematopoietic cell	-0.21621186662382819	10
CD8+ T cell	-0.21810600438626707	10
Tissue resident memory T(TRM) cell	-0.21964092496236015	10
Granulocyte-monocyte progenitor	-0.22107325873659547	10
Leydig precursor cell	-0.2211629967683321	10
Neural progenitor cell	-0.2233077610995065	10
Spermatogonial cell	-0.22651973704919737	10
M2 macrophage	-0.22752122463979738	10
Pan-endothelial cell	-0.22883831927562281	10
Basal cell	-0.22895783462172886	10
Classical monocyte	-0.2291699558037611	10
Naive CD4+ T cell	-0.22972363592754932	10
Regulatory T (Treg) cell	-0.23206301241012736	10
Lake et al.Science.Ex8	-0.23236805989182518	10
Regulatory T(Treg) cell	-0.23309543451028897	10
MK/eryth cell	-0.23445188700413994	10
Germinal center B cell	-0.23505365557666666	10
vasa recta Endothelial cell (ECvr)	-0.23704023610998562	10
Enterocyte progenitor cell	-0.23744443595405618	10
Acinar cell	-0.2391091581956516	10
Embryonic stem cell	-0.23919207771599996	10
Exhausted CD4+ T cell	-0.2406114147653425	10
FGFR1LowNME5- epithelial cell	-0.24319180516366654	10
Dendritic cell	-0.24520512143900805	10
FOXN4+ cell	-0.2456077479257416	10
Immune cell	-0.24571111605471233	10
Cytotoxic CD8 T cell	-0.24571111605471233	10
Gamma delta(γδ) T cell	-0.24571111605471233	10
M1 macrophage	-0.24571111605471233	10
Finally highly effector (TEMRA) memory T cell	-0.24571111605471233	10
NK and T cell	-0.24571111605471233	10
CD4+ cytotoxic T2 cell	-0.24571111605471233	10
Activated effector cell	-0.24571111605471233	10
Effector CD8 T cell	-0.24571111605471233	10
Effector memory CD8+ T cell	-0.24571111605471233	10
Ciliated epithelial cell	-0.2457574567483618	10
Mesenchymal stem cell	-0.24857300079428768	10
Homeostatic chondrocyte	-0.24898998959697596	10
Conventional dendritic cell 1(cDC1)	-0.2491829956521144	10
Epiblast cell	-0.25237730265410435	10
Naive CD8+ T cell	-0.25351629122468194	10
Mesangial cell	-0.25443278352096804	10
Panvascular cell	-0.2558923919703513	10
Early T cell progenitor (ETP)	-0.25682284301234287	10
Zona glomerulosa cell	-0.2571663807704694	10
Alpha cell (α cell)	-0.258074850140567	10
Müller glial cell	-0.258074850140567	10
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.25832172558364686	10
Activated langerhans cell	-0.25837307281492883	10
Secretory progenitor cell	-0.2585310734007054	10
Proximal tubular cell	-0.2585310734007054	10
Secretory cell	-0.2585310734007054	10
Glial cell	-0.25855636044515595	10
Effector chondrocyte	-0.25954314070186574	10
Synthetic smooth muscle cell	-0.25954314070186574	10
Vascular smooth muscle cell(VSMC)	-0.25960696335356864	10
Damage-associated transient progenitor cell	-0.25960696335356864	10
Delta cell	-0.25965087570017986	10
Schwann cell	-0.25965087570017986	10
Lipid-associated macrophage(LAM)	-0.25965087570017986	10
Extravillous trophoblast	-0.25965087570017986	10
Beta-like cell	-0.25965087570017986	10
Spermatogenic cell	-0.25965087570017986	10
Periosteum-derived progenitor cell	-0.25965087570017986	10
Dental pulp stem cell	-0.25965087570017986	10
CD16+ monocyte	-0.25965087570017986	10
Mesenchymal progenitor cell	-0.25965087570017986	10
Pluripotent stem cell	-0.25965087570017986	10
Disease-associated microglial cell	-0.25965087570017986	10
Haematopoietic cell	-0.25965087570017986	10
Pit progenitor cell	-0.26000891365551637	10
Myoblast	-0.26044272711931543	10
Basophil	-0.2605886338191033	10
Early erythroid progenitor cell	-0.2605886338191033	10
Megakaryocyte-erythroid-mast cell progenitor cell	-0.2605886338191033	10
Early megakaryocyte progenitor cell	-0.2605886338191033	10
Pan-trophectoderm cell	-0.2605886338191033	10
Gonadotroph cell	-0.2605886338191033	10
Collecting duct & Ureteric Bud cell	-0.2605886338191033	10
Granulocyte	-0.2605886338191033	10
Primitive endoderm cell	-0.26095485587689005	10
FGFR1HighNME5- epithelial cell	-0.2614471983595432	10
Activated B cell	-0.2623834548949338	10
Sinusoidal endothelial cell	-0.26252205829535835	10
Pyramidal cell	-0.2626523416008618	10
Bipolar cell	-0.2626523416008618	10
DCLK1+ progenitor cell	-0.26318641677302307	10
Capillary cell	-0.26318641677302307	10
Idiopathic pulmonary fibrosis myofibroblast	-0.26318641677302307	10
Osteocyte	-0.26318641677302307	10
Mature osteoblast	-0.26318641677302307	10
Neuroendocrine cell	-0.26337710466020847	10
Brush cell (Tuft cell)	-0.26337710466020847	10
Squamous epithelial cell	-0.2638085848457799	10
Neutrophil	-0.2638856875400233	10
Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell	-0.2638856875400233	10
Ductal cell	-0.2638856875400233	10
Neutrophil progenitor cell	-0.2638856875400233	10
Cholangiocyte	-0.2638856875400233	10
Pelvic epithelial cell	-0.2638856875400233	10
Resident memory T cell	-0.26401769215763526	10
CD1C+_A dendritic cell	-0.2644890162483967	10
Stromal cell	-0.2658967504956733	10
m-Pericyte	-0.2658967504956733	10
Myoid cell	-0.2658967504956733	10
Muscle cell	-0.2669630359802791	10
Basal epithelial cell	-0.2674388245275738	10
Fibrochondrocyte progenitor cell	-0.2674388245275738	10
Myoepithelial cell	-0.2674388245275738	10
Beta cell(β cell)	-0.26754604136939	10
Oocyte	-0.267892776839367	10
Lymphatic cell	-0.26857175891481716	10
Cardiomyocyte	-0.26857175891481716	10
Lymphatic endothelial cell	-0.26857175891481716	10
Mesenchymal cell	-0.26857175891481716	10
glomerular Endothelial cell (ECg)	-0.26857175891481716	10
Foetal endothelial cell	-0.26857175891481716	10
Late endothelial cell	-0.26857175891481716	10
Vascular cell	-0.26857175891481716	10
Mature endothelial cell	-0.26857175891481716	10
Early CD34+ megakaryocyte-erythroid progenitor cell	-0.2714785457239864	10
CD34+ megakaryocyte-erythroid progenitor cell	-0.2714785457239864	10
Monocyte-derived dendritic cell	-0.27215049711460976	10
Myeloid conventional dendritic cell	-0.27215049711460976	10
Myeloid-derived suppressor cell	-0.27215049711460976	10
Oligodendrocyte‐like cell	-0.2731819458612528	10
Distal cell	-0.2741745964596232	10
Memory T cell	-0.2743406319338889	10
Thymus seeding progenitor (TSP)	-0.2780840028707937	10
Endocrine cell	-0.27901000834409523	10
Monocyte	13.368782916225486	11
Macrophage	7.197977551099905	11
Microglial cell	6.281685858301242	11
Myeloid cell	3.179098055710024	11
Dendritic cell	2.843213935103785	11
Neutrophil	2.7523941308511213	11
B cell	1.452484504622738	11
Natural killer T (NKT) cell	0.8642432980269825	11
Astrocyte	0.8147779433122925	11
CD14+ monocyte	0.8065137692514842	11
Natural killer cell	0.7928732675395085	11
Paneth cell	0.7909477091808549	11
Classical monocyte	0.7681799156620867	11
M1 macrophage	0.7015171206073111	11
Endothelial cell	0.6927811099203787	11
CD1C-CD141- dendritic cell	0.6096608529871762	11
Fibroblast	0.5341645201210958	11
CD16+ monocyte	0.491423047226781	11
Intermediate monocyte	0.3234087866443949	11
Mesenchymal stem cell	0.3004233428322371	11
Antigen-presenting cell	0.24633215671815412	11
Immune cell	0.23964946598656622	11
Non-classical monocyte	0.2393613758485266	11
Kupffer cell	0.19570033832596057	11
Leukocyte	0.1396675073374741	11
Mesenchymal stromal cell	0.09646957154781531	11
Mesenchymal cell	0.093456289823999	11
M2 macrophage	0.0880902533379529	11
Natural killer T(NKT) cell	0.08571946349396214	11
Neuron	0.08371334472469237	11
